id,participant_id,response_time,correct,trial_number,stimuli_number,response,task,color,attention,time_when,stimulus_chart,stimulus_order,stimulus_index,stimulus_color,stimulus_task,stimulus_trial_index,valid_response_time,valid_correct,stimulus_fields_match,is_answered,participant_type,is_complete
1726,5b5a822e1ad8270001c4f28d,5412,0,21,barchart-first-30-same-shortest-21,right,shortest,same,dual,2026-03-18T15:19:56Z,barchart,first,30,same,shortest,21,TRUE,TRUE,TRUE,TRUE,study,TRUE
1729,5b5a822e1ad8270001c4f28d,947,0,22,barchart-first-23-random-shortest-22,left,shortest,random,dual,2026-03-18T15:19:59Z,barchart,first,23,random,shortest,22,TRUE,TRUE,TRUE,TRUE,study,TRUE
1730,5b5a822e1ad8270001c4f28d,2080,0,23,barchart-first-06-same-shortest-23,right,shortest,same,dual,2026-03-18T15:20:02Z,barchart,first,6,same,shortest,23,TRUE,TRUE,TRUE,TRUE,study,TRUE
1732,5b5a822e1ad8270001c4f28d,3485,1,24,barchart-first-17-same-shortest-24,right,shortest,same,dual,2026-03-18T15:20:13Z,barchart,first,17,same,shortest,24,TRUE,TRUE,TRUE,TRUE,study,TRUE
1733,5b5a822e1ad8270001c4f28d,2696,0,25,barchart-first-26-same-shortest-25,right,shortest,same,dual,2026-03-18T15:20:16Z,barchart,first,26,same,shortest,25,TRUE,TRUE,TRUE,TRUE,study,TRUE
1734,5b5a822e1ad8270001c4f28d,1359,1,26,barchart-first-14-random-shortest-26,left,shortest,random,dual,2026-03-18T15:20:19Z,barchart,first,14,random,shortest,26,TRUE,TRUE,TRUE,TRUE,study,TRUE
1735,5b5a822e1ad8270001c4f28d,3018,0,27,barchart-first-01-same-shortest-27,left,shortest,same,dual,2026-03-18T15:20:23Z,barchart,first,1,same,shortest,27,TRUE,TRUE,TRUE,TRUE,study,TRUE
1736,5b5a822e1ad8270001c4f28d,1757,1,28,barchart-first-29-double-shortest-28,left,shortest,double,dual,2026-03-18T15:20:26Z,barchart,first,29,double,shortest,28,TRUE,TRUE,TRUE,TRUE,study,TRUE
1737,5b5a822e1ad8270001c4f28d,2855,1,29,barchart-first-08-double-shortest-29,left,shortest,double,dual,2026-03-18T15:20:30Z,barchart,first,8,double,shortest,29,TRUE,TRUE,TRUE,TRUE,study,TRUE
1738,5b5a822e1ad8270001c4f28d,2831,0,30,barchart-first-23-double-shortest-30,left,shortest,double,dual,2026-03-18T15:20:33Z,barchart,first,23,double,shortest,30,TRUE,TRUE,TRUE,TRUE,study,TRUE
1739,5b5a822e1ad8270001c4f28d,2102,0,31,barchart-first-18-random-shortest-31,left,shortest,random,dual,2026-03-18T15:20:37Z,barchart,first,18,random,shortest,31,TRUE,TRUE,TRUE,TRUE,study,TRUE
1740,5b5a822e1ad8270001c4f28d,1146,1,32,barchart-first-27-same-shortest-32,right,shortest,same,dual,2026-03-18T15:20:40Z,barchart,first,27,same,shortest,32,TRUE,TRUE,TRUE,TRUE,study,TRUE
1741,5b5a822e1ad8270001c4f28d,4118,1,33,barchart-first-03-random-shortest-33,right,shortest,random,dual,2026-03-18T15:20:44Z,barchart,first,3,random,shortest,33,TRUE,TRUE,TRUE,TRUE,study,TRUE
1742,5b5a822e1ad8270001c4f28d,2486,1,34,barchart-first-17-double-shortest-34,right,shortest,double,dual,2026-03-18T15:20:47Z,barchart,first,17,double,shortest,34,TRUE,TRUE,TRUE,TRUE,study,TRUE
1743,5b5a822e1ad8270001c4f28d,2337,1,35,barchart-first-30-random-shortest-35,left,shortest,random,dual,2026-03-18T15:20:50Z,barchart,first,30,random,shortest,35,TRUE,TRUE,TRUE,TRUE,study,TRUE
1744,5b5a822e1ad8270001c4f28d,1394,1,36,barchart-first-14-double-shortest-36,left,shortest,double,dual,2026-03-18T15:20:52Z,barchart,first,14,double,shortest,36,TRUE,TRUE,TRUE,TRUE,study,TRUE
1745,5b5a822e1ad8270001c4f28d,2169,1,37,barchart-first-00-random-shortest-37,left,shortest,random,dual,2026-03-18T15:20:55Z,barchart,first,0,random,shortest,37,TRUE,TRUE,TRUE,TRUE,study,TRUE
1746,5b5a822e1ad8270001c4f28d,2700,1,38,barchart-first-31-random-shortest-38,right,shortest,random,dual,2026-03-18T15:20:58Z,barchart,first,31,random,shortest,38,TRUE,TRUE,TRUE,TRUE,study,TRUE
1747,5b5a822e1ad8270001c4f28d,3744,1,39,barchart-first-31-double-shortest-39,right,shortest,double,dual,2026-03-18T15:21:03Z,barchart,first,31,double,shortest,39,TRUE,TRUE,TRUE,TRUE,study,TRUE
1748,5b5a822e1ad8270001c4f28d,1880,0,40,barchart-first-18-same-shortest-40,left,shortest,same,dual,2026-03-18T15:21:05Z,barchart,first,18,same,shortest,40,TRUE,TRUE,TRUE,TRUE,study,TRUE
1750,5b5a822e1ad8270001c4f28d,1539,0,41,barchart-first-19-random-shortest-41,right,shortest,random,dual,2026-03-18T15:21:08Z,barchart,first,19,random,shortest,41,TRUE,TRUE,TRUE,TRUE,study,TRUE
1752,5b5a822e1ad8270001c4f28d,1478,1,42,barchart-first-15-random-shortest-42,right,shortest,random,dual,2026-03-18T15:21:11Z,barchart,first,15,random,shortest,42,TRUE,TRUE,TRUE,TRUE,study,TRUE
1755,5b5a822e1ad8270001c4f28d,2404,0,43,barchart-first-02-double-shortest-43,left,shortest,double,dual,2026-03-18T15:21:14Z,barchart,first,2,double,shortest,43,TRUE,TRUE,TRUE,TRUE,study,TRUE
1757,5b5a822e1ad8270001c4f28d,1419,0,44,barchart-first-28-same-shortest-44,left,shortest,same,dual,2026-03-18T15:21:17Z,barchart,first,28,same,shortest,44,TRUE,TRUE,TRUE,TRUE,study,TRUE
1761,5b5a822e1ad8270001c4f28d,3305,0,45,barchart-first-19-same-shortest-45,right,shortest,same,dual,2026-03-18T15:21:22Z,barchart,first,19,same,shortest,45,TRUE,TRUE,TRUE,TRUE,study,TRUE
1764,5b5a822e1ad8270001c4f28d,1543,0,46,barchart-first-28-random-shortest-46,left,shortest,random,dual,2026-03-18T15:21:25Z,barchart,first,28,random,shortest,46,TRUE,TRUE,TRUE,TRUE,study,TRUE
1766,5b5a822e1ad8270001c4f28d,622,1,47,barchart-first-13-same-shortest-47,left,shortest,same,dual,2026-03-18T15:21:27Z,barchart,first,13,same,shortest,47,TRUE,TRUE,TRUE,TRUE,study,TRUE
1773,5b5a822e1ad8270001c4f28d,1865,1,48,barchart-second-23-same-tallest-0,right,tallest,same,dual,2026-03-18T15:21:38Z,barchart,second,23,same,tallest,0,TRUE,TRUE,TRUE,TRUE,study,TRUE
1776,5b5a822e1ad8270001c4f28d,2653,1,49,barchart-second-21-random-tallest-1,left,tallest,random,dual,2026-03-18T15:21:41Z,barchart,second,21,random,tallest,1,TRUE,TRUE,TRUE,TRUE,study,TRUE
1779,5b5a822e1ad8270001c4f28d,1909,1,50,barchart-second-05-double-tallest-2,right,tallest,double,dual,2026-03-18T15:21:44Z,barchart,second,5,double,tallest,2,TRUE,TRUE,TRUE,TRUE,study,TRUE
1780,5b5a822e1ad8270001c4f28d,1979,1,51,barchart-second-20-random-tallest-3,right,tallest,random,dual,2026-03-18T15:21:47Z,barchart,second,20,random,tallest,3,TRUE,TRUE,TRUE,TRUE,study,TRUE
1783,5b5a822e1ad8270001c4f28d,4239,0,52,barchart-second-24-random-tallest-4,left,tallest,random,dual,2026-03-18T15:21:51Z,barchart,second,24,random,tallest,4,TRUE,TRUE,TRUE,TRUE,study,TRUE
1785,5b5a822e1ad8270001c4f28d,1333,1,53,barchart-second-12-same-tallest-5,right,tallest,same,dual,2026-03-18T15:21:54Z,barchart,second,12,same,tallest,5,TRUE,TRUE,TRUE,TRUE,study,TRUE
1787,5b5a822e1ad8270001c4f28d,2089,1,54,barchart-second-22-same-tallest-6,right,tallest,same,dual,2026-03-18T15:21:57Z,barchart,second,22,same,tallest,6,TRUE,TRUE,TRUE,TRUE,study,TRUE
1789,5b5a822e1ad8270001c4f28d,1910,1,55,barchart-second-06-random-tallest-7,right,tallest,random,dual,2026-03-18T15:21:59Z,barchart,second,6,random,tallest,7,TRUE,TRUE,TRUE,TRUE,study,TRUE
1792,5b5a822e1ad8270001c4f28d,2327,1,56,barchart-second-25-same-tallest-8,right,tallest,same,dual,2026-03-18T15:22:02Z,barchart,second,25,same,tallest,8,TRUE,TRUE,TRUE,TRUE,study,TRUE
1794,5b5a822e1ad8270001c4f28d,3339,0,57,barchart-second-25-double-tallest-9,left,tallest,double,dual,2026-03-18T15:22:06Z,barchart,second,25,double,tallest,9,TRUE,TRUE,TRUE,TRUE,study,TRUE
1797,5b5a822e1ad8270001c4f28d,1627,0,58,barchart-second-09-double-tallest-10,right,tallest,double,dual,2026-03-18T15:22:09Z,barchart,second,9,double,tallest,10,TRUE,TRUE,TRUE,TRUE,study,TRUE
1799,5b5a822e1ad8270001c4f28d,1830,1,59,barchart-second-21-same-tallest-11,left,tallest,same,dual,2026-03-18T15:22:13Z,barchart,second,21,same,tallest,11,TRUE,TRUE,TRUE,TRUE,study,TRUE
1801,5b5a822e1ad8270001c4f28d,1573,0,60,barchart-second-04-same-tallest-12,right,tallest,same,dual,2026-03-18T15:22:15Z,barchart,second,4,same,tallest,12,TRUE,TRUE,TRUE,TRUE,study,TRUE
1804,5b5a822e1ad8270001c4f28d,1954,0,61,barchart-second-07-same-tallest-13,right,tallest,same,dual,2026-03-18T15:22:19Z,barchart,second,7,same,tallest,13,TRUE,TRUE,TRUE,TRUE,study,TRUE
1806,5b5a822e1ad8270001c4f28d,1757,0,62,barchart-second-04-random-tallest-14,right,tallest,random,dual,2026-03-18T15:22:22Z,barchart,second,4,random,tallest,14,TRUE,TRUE,TRUE,TRUE,study,TRUE
1809,5b5a822e1ad8270001c4f28d,1894,0,63,barchart-second-27-double-tallest-15,left,tallest,double,dual,2026-03-18T15:22:25Z,barchart,second,27,double,tallest,15,TRUE,TRUE,TRUE,TRUE,study,TRUE
1811,5b5a822e1ad8270001c4f28d,893,0,64,barchart-second-10-same-tallest-16,left,tallest,same,dual,2026-03-18T15:22:28Z,barchart,second,10,same,tallest,16,TRUE,TRUE,TRUE,TRUE,study,TRUE
1813,5b5a822e1ad8270001c4f28d,871,0,65,barchart-second-03-same-tallest-17,right,tallest,same,dual,2026-03-18T15:22:30Z,barchart,second,3,same,tallest,17,TRUE,TRUE,TRUE,TRUE,study,TRUE
1816,5b5a822e1ad8270001c4f28d,1215,0,66,barchart-second-18-double-tallest-18,right,tallest,double,dual,2026-03-18T15:22:33Z,barchart,second,18,double,tallest,18,TRUE,TRUE,TRUE,TRUE,study,TRUE
1817,5b5a822e1ad8270001c4f28d,995,1,67,barchart-second-29-random-tallest-19,left,tallest,random,dual,2026-03-18T15:22:36Z,barchart,second,29,random,tallest,19,TRUE,TRUE,TRUE,TRUE,study,TRUE
1818,5b5a822e1ad8270001c4f28d,905,0,68,barchart-second-16-random-tallest-20,right,tallest,random,dual,2026-03-18T15:22:37Z,barchart,second,16,random,tallest,20,TRUE,TRUE,TRUE,TRUE,study,TRUE
1819,5b5a822e1ad8270001c4f28d,1315,0,69,barchart-second-27-random-tallest-21,left,tallest,random,dual,2026-03-18T15:22:40Z,barchart,second,27,random,tallest,21,TRUE,TRUE,TRUE,TRUE,study,TRUE
1820,5b5a822e1ad8270001c4f28d,981,1,70,barchart-second-24-same-tallest-22,right,tallest,same,dual,2026-03-18T15:22:43Z,barchart,second,24,same,tallest,22,TRUE,TRUE,TRUE,TRUE,study,TRUE
1821,5b5a822e1ad8270001c4f28d,1056,0,71,barchart-second-07-double-tallest-23,right,tallest,double,dual,2026-03-18T15:22:44Z,barchart,second,7,double,tallest,23,TRUE,TRUE,TRUE,TRUE,study,TRUE
1822,5b5a822e1ad8270001c4f28d,3058,1,72,barchart-second-25-random-tallest-24,right,tallest,random,dual,2026-03-18T15:22:53Z,barchart,second,25,random,tallest,24,TRUE,TRUE,TRUE,TRUE,study,TRUE
1823,5b5a822e1ad8270001c4f28d,1230,0,73,barchart-second-02-same-tallest-25,right,tallest,same,dual,2026-03-18T15:22:55Z,barchart,second,2,same,tallest,25,TRUE,TRUE,TRUE,TRUE,study,TRUE
1824,5b5a822e1ad8270001c4f28d,2012,0,74,barchart-second-07-random-tallest-26,right,tallest,random,dual,2026-03-18T15:22:58Z,barchart,second,7,random,tallest,26,TRUE,TRUE,TRUE,TRUE,study,TRUE
1826,5b5a822e1ad8270001c4f28d,2895,0,75,barchart-second-10-random-tallest-27,left,tallest,random,dual,2026-03-18T15:23:03Z,barchart,second,10,random,tallest,27,TRUE,TRUE,TRUE,TRUE,study,TRUE
1827,5b5a822e1ad8270001c4f28d,737,1,76,barchart-second-26-double-tallest-28,left,tallest,double,dual,2026-03-18T15:23:05Z,barchart,second,26,double,tallest,28,TRUE,TRUE,TRUE,TRUE,study,TRUE
1828,5b5a822e1ad8270001c4f28d,1428,0,77,barchart-second-08-same-tallest-29,right,tallest,same,dual,2026-03-18T15:23:07Z,barchart,second,8,same,tallest,29,TRUE,TRUE,TRUE,TRUE,study,TRUE
1829,5b5a822e1ad8270001c4f28d,934,0,78,barchart-second-04-double-tallest-30,right,tallest,double,dual,2026-03-18T15:23:10Z,barchart,second,4,double,tallest,30,TRUE,TRUE,TRUE,TRUE,study,TRUE
1830,5b5a822e1ad8270001c4f28d,719,1,79,barchart-second-22-random-tallest-31,right,tallest,random,dual,2026-03-18T15:23:12Z,barchart,second,22,random,tallest,31,TRUE,TRUE,TRUE,TRUE,study,TRUE
1831,5b5a822e1ad8270001c4f28d,2449,1,80,barchart-second-09-same-tallest-32,left,tallest,same,dual,2026-03-18T15:23:15Z,barchart,second,9,same,tallest,32,TRUE,TRUE,TRUE,TRUE,study,TRUE
1832,5b5a822e1ad8270001c4f28d,1475,0,81,barchart-second-13-double-tallest-33,right,tallest,double,dual,2026-03-18T15:23:17Z,barchart,second,13,double,tallest,33,TRUE,TRUE,TRUE,TRUE,study,TRUE
1833,5b5a822e1ad8270001c4f28d,3137,1,82,barchart-second-00-same-tallest-34,right,tallest,same,dual,2026-03-18T15:23:22Z,barchart,second,0,same,tallest,34,TRUE,TRUE,TRUE,TRUE,study,TRUE
1834,5b5a822e1ad8270001c4f28d,2573,1,83,barchart-second-11-random-tallest-35,left,tallest,random,dual,2026-03-18T15:23:25Z,barchart,second,11,random,tallest,35,TRUE,TRUE,TRUE,TRUE,study,TRUE
1835,5b5a822e1ad8270001c4f28d,3429,0,84,barchart-second-15-double-tallest-36,left,tallest,double,dual,2026-03-18T15:23:29Z,barchart,second,15,double,tallest,36,TRUE,TRUE,TRUE,TRUE,study,TRUE
1836,5b5a822e1ad8270001c4f28d,1413,0,85,barchart-second-08-random-tallest-37,right,tallest,random,dual,2026-03-18T15:23:32Z,barchart,second,8,random,tallest,37,TRUE,TRUE,TRUE,TRUE,study,TRUE
1837,5b5a822e1ad8270001c4f28d,1029,1,86,barchart-second-16-same-tallest-38,left,tallest,same,dual,2026-03-18T15:23:35Z,barchart,second,16,same,tallest,38,TRUE,TRUE,TRUE,TRUE,study,TRUE
1838,5b5a822e1ad8270001c4f28d,1051,0,87,barchart-second-28-double-tallest-39,left,tallest,double,dual,2026-03-18T15:23:36Z,barchart,second,28,double,tallest,39,TRUE,TRUE,TRUE,TRUE,study,TRUE
1839,5b5a822e1ad8270001c4f28d,1103,1,88,barchart-second-16-double-tallest-40,left,tallest,double,dual,2026-03-18T15:23:39Z,barchart,second,16,double,tallest,40,TRUE,TRUE,TRUE,TRUE,study,TRUE
1840,5b5a822e1ad8270001c4f28d,1505,1,89,barchart-second-15-same-tallest-41,right,tallest,same,dual,2026-03-18T15:23:41Z,barchart,second,15,same,tallest,41,TRUE,TRUE,TRUE,TRUE,study,TRUE
1841,5b5a822e1ad8270001c4f28d,2941,1,90,barchart-second-12-double-tallest-42,right,tallest,double,dual,2026-03-18T15:23:45Z,barchart,second,12,double,tallest,42,TRUE,TRUE,TRUE,TRUE,study,TRUE
1842,5b5a822e1ad8270001c4f28d,3493,0,91,barchart-second-30-double-tallest-43,left,tallest,double,dual,2026-03-18T15:23:49Z,barchart,second,30,double,tallest,43,TRUE,TRUE,TRUE,TRUE,study,TRUE
1843,5b5a822e1ad8270001c4f28d,1456,1,92,barchart-second-01-double-tallest-44,left,tallest,double,dual,2026-03-18T15:23:52Z,barchart,second,1,double,tallest,44,TRUE,TRUE,TRUE,TRUE,study,TRUE
1844,5b5a822e1ad8270001c4f28d,2330,1,93,barchart-second-01-random-tallest-45,left,tallest,random,dual,2026-03-18T15:23:55Z,barchart,second,1,random,tallest,45,TRUE,TRUE,TRUE,TRUE,study,TRUE
1845,5b5a822e1ad8270001c4f28d,2371,0,94,barchart-second-05-random-tallest-46,left,tallest,random,dual,2026-03-18T15:23:58Z,barchart,second,5,random,tallest,46,TRUE,TRUE,TRUE,TRUE,study,TRUE
1846,5b5a822e1ad8270001c4f28d,1280,1,95,barchart-second-24-double-tallest-47,right,tallest,double,dual,2026-03-18T15:24:00Z,barchart,second,24,double,tallest,47,TRUE,TRUE,TRUE,TRUE,study,TRUE
2231,5dec8925be656d35d4005320,1363,1,0,barchart-first-16-same-tallest-0,left,tallest,same,dual,2026-03-18T16:48:50Z,barchart,first,16,same,tallest,0,TRUE,TRUE,TRUE,TRUE,study,TRUE
2232,5dec8925be656d35d4005320,1431,1,1,barchart-first-09-same-tallest-1,left,tallest,same,dual,2026-03-18T16:48:52Z,barchart,first,9,same,tallest,1,TRUE,TRUE,TRUE,TRUE,study,TRUE
2233,5dec8925be656d35d4005320,1836,1,2,barchart-first-00-random-tallest-2,right,tallest,random,dual,2026-03-18T16:48:55Z,barchart,first,0,random,tallest,2,TRUE,TRUE,TRUE,TRUE,study,TRUE
2234,5dec8925be656d35d4005320,1111,1,3,barchart-first-01-double-tallest-3,left,tallest,double,dual,2026-03-18T16:48:56Z,barchart,first,1,double,tallest,3,TRUE,TRUE,TRUE,TRUE,study,TRUE
2235,5dec8925be656d35d4005320,910,1,4,barchart-first-27-random-tallest-4,right,tallest,random,dual,2026-03-18T16:48:58Z,barchart,first,27,random,tallest,4,TRUE,TRUE,TRUE,TRUE,study,TRUE
2236,5dec8925be656d35d4005320,787,1,5,barchart-first-30-double-tallest-5,right,tallest,double,dual,2026-03-18T16:48:59Z,barchart,first,30,double,tallest,5,TRUE,TRUE,TRUE,TRUE,study,TRUE
2237,5dec8925be656d35d4005320,1912,1,6,barchart-first-09-random-tallest-6,left,tallest,random,dual,2026-03-18T16:49:02Z,barchart,first,9,random,tallest,6,TRUE,TRUE,TRUE,TRUE,study,TRUE
2238,5dec8925be656d35d4005320,798,1,7,barchart-first-12-double-tallest-7,right,tallest,double,dual,2026-03-18T16:49:03Z,barchart,first,12,double,tallest,7,TRUE,TRUE,TRUE,TRUE,study,TRUE
2239,5dec8925be656d35d4005320,1061,1,8,barchart-first-18-random-tallest-8,left,tallest,random,dual,2026-03-18T16:49:05Z,barchart,first,18,random,tallest,8,TRUE,TRUE,TRUE,TRUE,study,TRUE
2240,5dec8925be656d35d4005320,902,1,9,barchart-first-04-random-tallest-9,left,tallest,random,dual,2026-03-18T16:49:06Z,barchart,first,4,random,tallest,9,TRUE,TRUE,TRUE,TRUE,study,TRUE
2241,5dec8925be656d35d4005320,1351,1,10,barchart-first-10-random-tallest-10,right,tallest,random,dual,2026-03-18T16:49:08Z,barchart,first,10,random,tallest,10,TRUE,TRUE,TRUE,TRUE,study,TRUE
2242,5dec8925be656d35d4005320,711,1,11,barchart-first-22-same-tallest-11,right,tallest,same,dual,2026-03-18T16:49:09Z,barchart,first,22,same,tallest,11,TRUE,TRUE,TRUE,TRUE,study,TRUE
2243,5dec8925be656d35d4005320,2651,1,12,barchart-first-13-double-tallest-12,left,tallest,double,dual,2026-03-18T16:49:13Z,barchart,first,13,double,tallest,12,TRUE,TRUE,TRUE,TRUE,study,TRUE
2244,5dec8925be656d35d4005320,2203,1,13,barchart-first-17-double-tallest-13,left,tallest,double,dual,2026-03-18T16:49:15Z,barchart,first,17,double,tallest,13,TRUE,TRUE,TRUE,TRUE,study,TRUE
2245,5dec8925be656d35d4005320,1241,1,14,barchart-first-03-same-tallest-14,left,tallest,same,dual,2026-03-18T16:49:17Z,barchart,first,3,same,tallest,14,TRUE,TRUE,TRUE,TRUE,study,TRUE
2246,5dec8925be656d35d4005320,1062,1,15,barchart-first-20-double-tallest-15,right,tallest,double,dual,2026-03-18T16:49:19Z,barchart,first,20,double,tallest,15,TRUE,TRUE,TRUE,TRUE,study,TRUE
2247,5dec8925be656d35d4005320,1024,1,16,barchart-first-15-random-tallest-16,right,tallest,random,dual,2026-03-18T16:49:20Z,barchart,first,15,random,tallest,16,TRUE,TRUE,TRUE,TRUE,study,TRUE
2248,5dec8925be656d35d4005320,1041,1,17,barchart-first-10-same-tallest-17,right,tallest,same,dual,2026-03-18T16:49:22Z,barchart,first,10,same,tallest,17,TRUE,TRUE,TRUE,TRUE,study,TRUE
2249,5dec8925be656d35d4005320,1041,1,18,barchart-first-03-double-tallest-18,left,tallest,double,dual,2026-03-18T16:49:24Z,barchart,first,3,double,tallest,18,TRUE,TRUE,TRUE,TRUE,study,TRUE
2250,5dec8925be656d35d4005320,1413,1,19,barchart-first-23-same-tallest-19,right,tallest,same,dual,2026-03-18T16:49:26Z,barchart,first,23,same,tallest,19,TRUE,TRUE,TRUE,TRUE,study,TRUE
2251,5dec8925be656d35d4005320,647,1,20,barchart-first-26-same-tallest-20,left,tallest,same,dual,2026-03-18T16:49:27Z,barchart,first,26,same,tallest,20,TRUE,TRUE,TRUE,TRUE,study,TRUE
2252,5dec8925be656d35d4005320,2198,1,21,barchart-first-08-same-tallest-21,left,tallest,same,dual,2026-03-18T16:49:29Z,barchart,first,8,same,tallest,21,TRUE,TRUE,TRUE,TRUE,study,TRUE
2253,5dec8925be656d35d4005320,885,1,22,barchart-first-08-random-tallest-22,left,tallest,random,dual,2026-03-18T16:49:31Z,barchart,first,8,random,tallest,22,TRUE,TRUE,TRUE,TRUE,study,TRUE
2254,5dec8925be656d35d4005320,1170,1,23,barchart-first-16-random-tallest-23,left,tallest,random,dual,2026-03-18T16:49:33Z,barchart,first,16,random,tallest,23,TRUE,TRUE,TRUE,TRUE,study,TRUE
2255,5dec8925be656d35d4005320,1098,1,24,barchart-first-08-double-tallest-24,left,tallest,double,dual,2026-03-18T16:50:17Z,barchart,first,8,double,tallest,24,TRUE,TRUE,TRUE,TRUE,study,TRUE
2256,5dec8925be656d35d4005320,666,1,25,barchart-first-24-random-tallest-25,right,tallest,random,dual,2026-03-18T16:50:18Z,barchart,first,24,random,tallest,25,TRUE,TRUE,TRUE,TRUE,study,TRUE
