pool,dataset_index,image_file,color_condition,tallest_side,shortest_side,lightest_side
real,49,barchart_49_dark-more.png,dark-more,left,right,right
real,49,barchart_49_light-more.png,light-more,left,right,left
real,49,barchart_49_random.png,random,left,right,
real,50,barchart_50_dark-more.png,dark-more,right,right,right
real,50,barchart_50_light-more.png,light-more,right,right,right
real,50,barchart_50_random.png,random,right,right,
real,51,barchart_51_dark-more.png,dark-more,left,right,right
real,51,barchart_51_light-more.png,light-more,left,right,left
real,51,barchart_51_random.png,random,left,right,
real,52,barchart_52_dark-more.png,dark-more,right,right,right
real,52,barchart_52_light-more.png,light-more,right,right,right
real,52,barchart_52_random.png,random,right,right,
real,53,barchart_53_dark-more.png,dark-more,left,right,right
real,53,barchart_53_light-more.png,light-more,left,right,left
real,53,barchart_53_random.png,random,left,right,
real,54,barchart_54_dark-more.png,dark-more,right,left,left
real,54,barchart_54_light-more.png,light-more,right,left,right
real,54,barchart_54_random.png,random,right,left,
real,55,barchart_55_dark-more.png,dark-more,left,left,left
real,55,barchart_55_light-more.png,light-more,left,left,left
real,55,barchart_55_random.png,random,left,left,
real,56,barchart_56_dark-more.png,dark-more,left,left,left
real,56,barchart_56_light-more.png,light-more,left,left,left
real,56,barchart_56_random.png,random,left,left,
real,57,barchart_57_dark-more.png,dark-more,left,right,right
real,57,barchart_57_light-more.png,light-more,left,right,left
real,57,barchart_57_random.png,random,left,right,
real,58,barchart_58_dark-more.png,dark-more,right,left,left
real,58,barchart_58_light-more.png,light-more,right,left,right
real,58,barchart_58_random.png,random,right,left,
real,59,barchart_59_dark-more.png,dark-more,left,left,left
real,59,barchart_59_light-more.png,light-more,left,left,left
real,59,barchart_59_random.png,random,left,left,
real,60,barchart_60_dark-more.png,dark-more,right,right,right
real,60,barchart_60_light-more.png,light-more,right,right,right
real,60,barchart_60_random.png,random,right,right,
real,61,barchart_61_dark-more.png,dark-more,left,left,left
real,61,barchart_61_light-more.png,light-more,left,left,left
real,61,barchart_61_random.png,random,left,left,
real,62,barchart_62_dark-more.png,dark-more,right,right,right
real,62,barchart_62_light-more.png,light-more,right,right,right
real,62,barchart_62_random.png,random,right,right,
real,63,barchart_63_dark-more.png,dark-more,left,right,right
real,63,barchart_63_light-more.png,light-more,left,right,left
real,63,barchart_63_random.png,random,left,right,
real,64,barchart_64_dark-more.png,dark-more,left,left,left
real,64,barchart_64_light-more.png,light-more,left,left,left
real,64,barchart_64_random.png,random,left,left,
real,65,barchart_65_dark-more.png,dark-more,right,right,right
real,65,barchart_65_light-more.png,light-more,right,right,right
real,65,barchart_65_random.png,random,right,right,
real,66,barchart_66_dark-more.png,dark-more,right,left,left
real,66,barchart_66_light-more.png,light-more,right,left,right
real,66,barchart_66_random.png,random,right,left,
real,67,barchart_67_dark-more.png,dark-more,right,left,left
real,67,barchart_67_light-more.png,light-more,right,left,right
real,67,barchart_67_random.png,random,right,left,
real,68,barchart_68_dark-more.png,dark-more,right,right,right
real,68,barchart_68_light-more.png,light-more,right,right,right
real,68,barchart_68_random.png,random,right,right,
real,69,barchart_69_dark-more.png,dark-more,left,right,right
real,69,barchart_69_light-more.png,light-more,left,right,left
real,69,barchart_69_random.png,random,left,right,
real,70,barchart_70_dark-more.png,dark-more,left,right,right
real,70,barchart_70_light-more.png,light-more,left,right,left
real,70,barchart_70_random.png,random,left,right,
real,71,barchart_71_dark-more.png,dark-more,right,left,left
real,71,barchart_71_light-more.png,light-more,right,left,right
real,71,barchart_71_random.png,random,right,left,
real,72,barchart_72_dark-more.png,dark-more,left,right,right
real,72,barchart_72_light-more.png,light-more,left,right,left
real,72,barchart_72_random.png,random,left,right,
real,73,barchart_73_dark-more.png,dark-more,right,left,left
real,73,barchart_73_light-more.png,light-more,right,left,right
real,73,barchart_73_random.png,random,right,left,
real,74,barchart_74_dark-more.png,dark-more,right,left,left
real,74,barchart_74_light-more.png,light-more,right,left,right
real,74,barchart_74_random.png,random,right,left,
real,75,barchart_75_dark-more.png,dark-more,left,left,left
real,75,barchart_75_light-more.png,light-more,left,left,left
real,75,barchart_75_random.png,random,left,left,
real,76,barchart_76_dark-more.png,dark-more,right,left,left
real,76,barchart_76_light-more.png,light-more,right,left,right
real,76,barchart_76_random.png,random,right,left,
real,77,barchart_77_dark-more.png,dark-more,left,left,left
real,77,barchart_77_light-more.png,light-more,left,left,left
real,77,barchart_77_random.png,random,left,left,
real,78,barchart_78_dark-more.png,dark-more,left,right,right
real,78,barchart_78_light-more.png,light-more,left,right,left
real,78,barchart_78_random.png,random,left,right,
real,79,barchart_79_dark-more.png,dark-more,right,right,right
real,79,barchart_79_light-more.png,light-more,right,right,right
real,79,barchart_79_random.png,random,right,right,
real,80,barchart_80_dark-more.png,dark-more,left,left,left
real,80,barchart_80_light-more.png,light-more,left,left,left
real,80,barchart_80_random.png,random,left,left,
real,81,barchart_81_dark-more.png,dark-more,left,left,left
real,81,barchart_81_light-more.png,light-more,left,left,left
real,81,barchart_81_random.png,random,left,left,
real,82,barchart_82_dark-more.png,dark-more,left,right,right
real,82,barchart_82_light-more.png,light-more,left,right,left
real,82,barchart_82_random.png,random,left,right,
real,83,barchart_83_dark-more.png,dark-more,left,left,left
real,83,barchart_83_light-more.png,light-more,left,left,left
real,83,barchart_83_random.png,random,left,left,
real,84,barchart_84_dark-more.png,dark-more,right,right,right
real,84,barchart_84_light-more.png,light-more,right,right,right
real,84,barchart_84_random.png,random,right,right,
real,85,barchart_85_dark-more.png,dark-more,left,left,left
real,85,barchart_85_light-more.png,light-more,left,left,left
real,85,barchart_85_random.png,random,left,left,
real,86,barchart_86_dark-more.png,dark-more,left,right,right
real,86,barchart_86_light-more.png,light-more,left,right,left
real,86,barchart_86_random.png,random,left,right,
real,87,barchart_87_dark-more.png,dark-more,right,left,left
real,87,barchart_87_light-more.png,light-more,right,left,right
real,87,barchart_87_random.png,random,right,left,
real,88,barchart_88_dark-more.png,dark-more,right,left,left
real,88,barchart_88_light-more.png,light-more,right,left,right
real,88,barchart_88_random.png,random,right,left,
real,89,barchart_89_dark-more.png,dark-more,left,right,right
real,89,barchart_89_light-more.png,light-more,left,right,left
real,89,barchart_89_random.png,random,left,right,
real,90,barchart_90_dark-more.png,dark-more,right,left,left
real,90,barchart_90_light-more.png,light-more,right,left,right
real,90,barchart_90_random.png,random,right,left,
real,91,barchart_91_dark-more.png,dark-more,left,right,right
real,91,barchart_91_light-more.png,light-more,left,right,left
real,91,barchart_91_random.png,random,left,right,
real,92,barchart_92_dark-more.png,dark-more,right,right,right
real,92,barchart_92_light-more.png,light-more,right,right,right
real,92,barchart_92_random.png,random,right,right,
real,93,barchart_93_dark-more.png,dark-more,left,right,right
real,93,barchart_93_light-more.png,light-more,left,right,left
real,93,barchart_93_random.png,random,left,right,
real,94,barchart_94_dark-more.png,dark-more,right,right,right
real,94,barchart_94_light-more.png,light-more,right,right,right
real,94,barchart_94_random.png,random,right,right,
real,95,barchart_95_dark-more.png,dark-more,right,left,left
real,95,barchart_95_light-more.png,light-more,right,left,right
real,95,barchart_95_random.png,random,right,left,
practice,96,barchart_96_dark-more.png,dark-more,left,left,left
practice,96,barchart_96_light-more.png,light-more,left,left,left
practice,96,barchart_96_random.png,random,left,left,
practice,97,barchart_97_dark-more.png,dark-more,right,right,right
practice,97,barchart_97_light-more.png,light-more,right,right,right
practice,97,barchart_97_random.png,random,right,right,
practice,98,barchart_98_dark-more.png,dark-more,right,left,left
practice,98,barchart_98_light-more.png,light-more,right,left,right
practice,98,barchart_98_random.png,random,right,left,
practice,99,barchart_99_dark-more.png,dark-more,left,right,right
practice,99,barchart_99_light-more.png,light-more,left,right,left
practice,99,barchart_99_random.png,random,left,right,
practice,100,barchart_100_dark-more.png,dark-more,left,right,right
practice,100,barchart_100_light-more.png,light-more,left,right,left
practice,100,barchart_100_random.png,random,left,right,
practice,101,barchart_101_dark-more.png,dark-more,right,left,left
practice,101,barchart_101_light-more.png,light-more,right,left,right
practice,101,barchart_101_random.png,random,right,left,
practice,102,barchart_102_dark-more.png,dark-more,right,right,right
practice,102,barchart_102_light-more.png,light-more,right,right,right
practice,102,barchart_102_random.png,random,right,right,
practice,103,barchart_103_dark-more.png,dark-more,left,left,left
practice,103,barchart_103_light-more.png,light-more,left,left,left
practice,103,barchart_103_random.png,random,left,left,
practice,104,barchart_104_dark-more.png,dark-more,right,right,right
practice,104,barchart_104_light-more.png,light-more,right,right,right
practice,104,barchart_104_random.png,random,right,right,
practice,105,barchart_105_dark-more.png,dark-more,right,left,left
practice,105,barchart_105_light-more.png,light-more,right,left,right
practice,105,barchart_105_random.png,random,right,left,
practice,106,barchart_106_dark-more.png,dark-more,left,left,left
practice,106,barchart_106_light-more.png,light-more,left,left,left
practice,106,barchart_106_random.png,random,left,left,
practice,107,barchart_107_dark-more.png,dark-more,left,right,right
practice,107,barchart_107_light-more.png,light-more,left,right,left
practice,107,barchart_107_random.png,random,left,right,
